state,abbr,code_citation,code_url,code_url_secondary,admin_agency,admin_url,voter_portal_url
Hawaii,HI,"Hawaii Revised Statutes, Title 2, Chapters 11-19 (Elections)",https://www.capitol.hawaii.gov/hrscurrent/vol01_ch0001-0042f/HRS0011/HRS_0011-.htm,,Hawaii Office of Elections,https://elections.hawaii.gov/,https://olvr.hawaii.gov/
Idaho,ID,"Idaho Code, Title 34 (Elections)",https://legislature.idaho.gov/statutesrules/idstat/title34/,,Idaho Secretary of State (Elections Division),https://sos.idaho.gov/elections-division/,https://voteidaho.gov/
Illinois,IL,"Illinois Election Code, 10 ILCS 5",https://www.ilga.gov/legislation/ilcs/ilcs5.asp?ActID=170&ChapterID=3,,Illinois State Board of Elections,https://www.elections.il.gov/,https://ova.elections.il.gov/
Indiana,IN,"Indiana Code, Title 3 (Elections)",https://iga.in.gov/laws/2025/ic/titles/3,,Indiana Secretary of State (Election Division),https://www.in.gov/sos/elections/,https://indianavoters.in.gov/
Iowa,IA,"Iowa Code, Title II, Chapters 39-53 (Elections)",https://www.legis.iowa.gov/law/iowaCode/chapters?title=II,,Iowa Secretary of State (Elections & Voting),https://sos.iowa.gov/elections-voting,https://voterready.iowa.gov/
Kansas,KS,"Kansas Statutes, Chapter 25 (Elections)",https://www.ksrevisor.gov/statutes/ksa_ch25.html,,Kansas Secretary of State (Elections),https://sos.ks.gov/elections/elections.html,https://myvoteinfo.voteks.org/VoterView/
Kentucky,KY,"Kentucky Revised Statutes, Chapters 116-121A (Elections)",https://apps.legislature.ky.gov/law/statutes/,,Kentucky State Board of Elections,https://elect.ky.gov/,https://govoteky.com/
Louisiana,LA,"Louisiana Election Code, Title 18 (La. R.S. Title 18)",https://legis.la.gov/legis/Law.aspx?d=81241,,Louisiana Secretary of State (Elections & Voting),https://www.sos.la.gov/elections-voting,https://voterportal.sos.la.gov/
Maine,ME,"Maine Revised Statutes, Title 21-A (Elections)",https://legislature.maine.gov/statutes/21-A/title21-Ach0sec0.html,,"Maine Secretary of State, Bureau of Corporations, Elections and Commissions",https://www.maine.gov/sos/elections-voting,https://www.maine.gov/portal/government/edemocracy/voter_lookup.php
Maryland,MD,"Election Law Article, Annotated Code of Maryland",https://mgaleg.maryland.gov/mgawebsite/Laws/StatutesText?article=gel,,Maryland State Board of Elections,https://elections.maryland.gov/,https://voterservices.elections.maryland.gov/
Massachusetts,MA,"General Laws, Part I, Title VIII, Chapters 50-56 (Elections)",https://malegislature.gov/Laws/GeneralLaws/PartI/TitleVIII,,Secretary of the Commonwealth (Elections Division),https://www.sec.state.ma.us/divisions/elections/elections-and-voting.htm,https://www.sec.state.ma.us/ovr/
Michigan,MI,"Michigan Election Law, Act 116 of 1954 (MCL Chapter 168)",https://www.legislature.mi.gov/Laws/MCL?objectName=MCL-ACT-116-OF-1954,,"Michigan Department of State (Secretary of State), Elections",https://www.michigan.gov/sos/elections,https://mvic.sos.state.mi.us/
Minnesota,MN,"Minnesota Statutes, Chapters 200-212 (Elections)",https://www.revisor.mn.gov/statutes/part/ELECTIONS,,Minnesota Secretary of State (Elections & Voting),https://www.sos.mn.gov/elections-voting/,https://mnvotes.sos.mn.gov/
Mississippi,MS,"Mississippi Code, Title 23, Chapter 15 (Mississippi Election Code)",http://www.legislature.ms.gov/,https://advance.lexis.com/container?config=00JAAzNzhjOTYxNC0wZjRkLTQzNzAtYjJlYS1jNjExZWYxZGFhMGYKAFBvZENhdGFsb2cMlW40w5iIH7toHnTBIEP0,Mississippi Secretary of State (Elections & Voting),https://www.sos.ms.gov/elections-voting,https://www.yallvote.sos.ms.gov/
Missouri,MO,"Revised Statutes of Missouri, Title IX, Chapter 115 (Elections)",https://revisor.mo.gov/main/OneChapter.aspx?chapter=115,,Missouri Secretary of State (Elections),https://www.sos.mo.gov/elections,https://s1.sos.mo.gov/elections/voterlookup/
Montana,MT,"Montana Code Annotated, Title 13 (Elections)",https://mca.legmt.gov/bills/mca/title_0130/chapters_index.html,,Montana Secretary of State (Elections),https://sosmt.gov/elections/,https://app.mt.gov/voterinfo/
Nebraska,NE,"Nebraska Revised Statutes, Chapter 32 (Elections)",https://nebraskalegislature.gov/laws/browse-chapters.php?chapter=32,,Nebraska Secretary of State (Elections Division),https://sos.nebraska.gov/elections-division,https://www.votercheck.necvr.ne.gov/voterview/
Nevada,NV,"Nevada Revised Statutes, Title 24, Chapters 293-304 (Elections)",https://www.leg.state.nv.us/nrs/nrs-293.html,,Nevada Secretary of State (Elections),https://www.nvsos.gov/sos/elections,https://www.nvsos.gov/SOSVoterServices/start.aspx
New Hampshire,NH,"RSA, Title LXIII, Chapters 652-671 (Elections)",https://gc.nh.gov/rsa/html/nhtoc/nhtoc-lxiii.htm,,New Hampshire Secretary of State (Elections),https://www.sos.nh.gov/elections,https://app.sos.nh.gov/voterinformation
New Jersey,NJ,"New Jersey Revised Statutes, Title 19 (Elections)",https://www.njleg.state.nj.us/,https://nj.gov/state/elections/election-information-title-19.html,"New Jersey Department of State, Division of Elections",https://nj.gov/state/elections/index.shtml,https://www.nj.gov/state/elections/vote.shtml
New Mexico,NM,"NMSA 1978, Chapter 1 (Elections / Election Code)",https://nmonesource.com/,,New Mexico Secretary of State (Voting & Elections),https://www.sos.nm.gov/voting-and-elections/,https://voterportal.servis.sos.state.nm.us/
New York,NY,New York Election Law (ELN),https://www.nysenate.gov/legislation/laws/ELN,,New York State Board of Elections,https://elections.ny.gov/,https://voterlookup.elections.ny.gov/
North Carolina,NC,"General Statutes, Chapter 163 (Elections and Election Laws)",https://www.ncleg.gov/EnactedLegislation/Statutes/PDF/ByChapter/Chapter_163.pdf,,North Carolina State Board of Elections,https://www.ncsbe.gov/,https://vt.ncsbe.gov/reglkup/
North Dakota,ND,"North Dakota Century Code, Title 16.1 (Elections)",https://ndlegis.gov/cencode/t16-1.html,,North Dakota Secretary of State (Elections),https://www.sos.nd.gov/elections,https://vip.sos.nd.gov/
Ohio,OH,"Ohio Revised Code, Title 35, Chapters 3501-3599 (Elections)",https://codes.ohio.gov/ohio-revised-code/title-35,,Ohio Secretary of State (Elections),https://www.ohiosos.gov/elections/,https://voterlookup.ohiosos.gov/
Oklahoma,OK,"Oklahoma Statutes, Title 26 (Elections)",https://www.oscn.net/applications/oscn/index.asp?ftdb=STOKST26&level=1,,Oklahoma State Election Board,https://oklahoma.gov/elections.html,https://okvoterportal.okelections.gov/
Oregon,OR,"Oregon Revised Statutes, Chapters 246-260 (Elections)",https://www.oregonlegislature.gov/bills_laws/ors/ors246.html,,Oregon Secretary of State (Elections Division),https://sos.oregon.gov/voting-elections/Pages/default.aspx,https://secure.sos.state.or.us/orestar/vr/showVoterSearch.do
Pennsylvania,PA,Pennsylvania Election Code (25 P.S.); Title 25,https://www.legis.state.pa.us/WU01/LI/LI/CT/HTM/25/25.HTM,https://www.palegis.us/,Pennsylvania Department of State (Voting & Elections),https://www.pa.gov/agencies/vote,https://www.pavoterservices.pa.gov/
Rhode Island,RI,"General Laws, Title 17 (Elections)",https://webserver.rilegislature.gov/Statutes/TITLE17/INDEX.HTM,,Rhode Island Department of State (Elections & Civics Division),https://vote.sos.ri.gov/,https://vote.sos.ri.gov/
South Carolina,SC,"Code of Laws, Title 7 (Elections)",https://www.scstatehouse.gov/code/title7.php,,South Carolina State Election Commission,https://scvotes.gov/,https://info.scvotes.sc.gov/Eng/VoterInquiry/VoterInformation.aspx
South Dakota,SD,"Codified Laws, Title 12 (Elections)",https://sdlegislature.gov/Statutes/12,,South Dakota Secretary of State (Elections & Voting),https://sdsos.gov/elections-voting/default.aspx,https://vip.sdsos.gov/
Tennessee,TN,"Tennessee Code Annotated, Title 2 (Elections)",https://www.capitol.tn.gov/,https://www.lexisnexis.com/hottopics/tncode/,Tennessee Secretary of State (Division of Elections / GoVoteTN),https://sos.tn.gov/elections,https://web.go-vote-tn.elections.tn.gov/
Texas,TX,Texas Election Code,https://statutes.capitol.texas.gov/?link=EL,https://statutes.capitol.texas.gov/docs/sdocs/electioncode.pdf,Texas Secretary of State (Elections Division),https://www.sos.texas.gov/elections/index.shtml,https://www.votetexas.gov/
Utah,UT,"Utah Code, Title 20A (Election Code)",https://le.utah.gov/xcode/Title20A/20a.html,,Utah Lieutenant Governor's Office (Elections),https://elections.utah.gov/,https://vote.utah.gov/
Vermont,VT,"Vermont Statutes, Title 17 (Elections)",https://legislature.vermont.gov/statutes/title/17,,Vermont Secretary of State (Elections Division),https://sos.vermont.gov/elections/,https://mvp.vermont.gov/
Virginia,VA,"Code of Virginia, Title 24.2 (Elections)",https://law.lis.virginia.gov/vacode/title24.2/,,Virginia Department of Elections,https://www.elections.virginia.gov/,https://vote.elections.virginia.gov/
Washington,WA,"Revised Code of Washington, Title 29A (Elections)",https://app.leg.wa.gov/rcw/default.aspx?cite=29A,,Washington Secretary of State (Elections),https://www.sos.wa.gov/elections,https://www.votewa.gov/
West Virginia,WV,"West Virginia Code, Chapter 3 (Elections)",https://code.wvlegislature.gov/3/,,West Virginia Secretary of State (Elections),https://sos.wv.gov/elections,https://govotewv.com/
Wisconsin,WI,"Wisconsin Statutes, Chapters 5-12 (Elections)",https://docs.legis.wisconsin.gov/statutes/statutes/5,,Wisconsin Elections Commission,https://elections.wi.gov/,https://myvote.wi.gov/
Wyoming,WY,"Wyoming Statutes, Title 22 (Elections / Wyoming Election Code)",https://www.wyoleg.gov/StateStatutes/StatutesDownload,https://wyoleg.gov/statutes/compress/title22.pdf,Wyoming Secretary of State (Elections Division),https://sos.wyo.gov/elections/,
